epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,1644.64,0.74786,0.98361,0.49352,0.93617,0.81572,0.63624,0.68993,0.52764,0.79797,0.61574,0.65315,0.49829,1.45896,2.70654,1.3733,1.17867,0.000291725,0.000291725,0.000291725
127,1657.07,0.74516,0.97827,0.49118,0.93918,0.83821,0.61774,0.68674,0.526,0.81803,0.60528,0.65009,0.49761,1.44655,2.65652,1.34824,1.17069,0.000280723,0.000280723,0.000280723
128,1670.07,0.74836,0.97912,0.48766,0.93757,0.8104,0.62323,0.68274,0.52082,0.79773,0.60893,0.64844,0.49505,1.45729,2.71515,1.36585,1.16813,0.000269721,0.000269721,0.000269721
129,1683.09,0.74993,1.01069,0.49703,0.94247,0.82507,0.63533,0.70114,0.53933,0.8114,0.6201,0.6633,0.50508,1.43629,2.686,1.27213,1.15912,0.000258718,0.000258718,0.000258718
130,1696.37,0.73938,0.97131,0.49007,0.94165,0.81481,0.63437,0.68651,0.52611,0.79561,0.62021,0.65186,0.49559,1.464,2.7606,1.36232,1.17262,0.000247716,0.000247716,0.000247716
131,1709.36,0.74787,1.00033,0.48887,0.93979,0.8164,0.6268,0.6858,0.53072,0.79735,0.61264,0.65417,0.49498,1.45786,2.65008,1.40184,1.17316,0.000236714,0.000236714,0.000236714
132,1722.6,0.74512,1.01466,0.48806,0.93106,0.78244,0.6329,0.68613,0.52015,0.83278,0.59078,0.65246,0.49342,1.4487,2.64876,1.31979,1.17828,0.000225712,0.000225712,0.000225712
133,1735.61,0.74434,0.98663,0.48799,0.94039,0.79412,0.64501,0.69609,0.52797,0.77254,0.62943,0.66067,0.49903,1.45144,2.68493,1.3009,1.17893,0.00021471,0.00021471,0.00021471
134,1748.05,0.72943,0.96642,0.48466,0.93926,0.80958,0.62854,0.689,0.52617,0.79752,0.61769,0.66075,0.49737,1.45624,2.73627,1.37621,1.18122,0.000203707,0.000203707,0.000203707
135,1761.08,0.73788,0.98282,0.47874,0.93067,0.80739,0.64009,0.68511,0.52334,0.7888,0.62678,0.65451,0.49453,1.45134,2.78994,1.39241,1.18127,0.000192705,0.000192705,0.000192705
136,1774.05,0.71722,0.97487,0.46472,0.91716,0.79554,0.63926,0.68928,0.52511,0.77673,0.62745,0.65537,0.49586,1.45092,2.78634,1.40505,1.18215,0.000181703,0.000181703,0.000181703
137,1787.04,0.73253,0.98066,0.4722,0.92773,0.79982,0.63624,0.68947,0.52459,0.79608,0.61399,0.65384,0.49341,1.45492,2.75692,1.4226,1.17836,0.000170701,0.000170701,0.000170701
138,1800.38,0.70673,0.91812,0.45855,0.92623,0.8275,0.62513,0.6931,0.53016,0.80936,0.61298,0.66003,0.49659,1.44001,2.77778,1.40952,1.17095,0.000159699,0.000159699,0.000159699
139,1813.11,0.71719,0.95744,0.46718,0.9306,0.83554,0.61669,0.6886,0.52491,0.81167,0.60595,0.65335,0.49296,1.44849,2.76636,1.42661,1.17205,0.000148696,0.000148696,0.000148696
140,1826.08,0.70768,0.94992,0.45917,0.924,0.81324,0.63549,0.69171,0.52853,0.79139,0.62491,0.65776,0.4966,1.44477,2.74427,1.39977,1.17591,0.000137694,0.000137694,0.000137694
141,1840.65,0.73729,0.98141,0.46858,0.93549,0.78385,0.63753,0.68032,0.52517,0.81795,0.59772,0.64775,0.49569,1.45653,2.8589,1.40477,1.18866,0.000126692,0.000126692,0.000126692
142,1853.05,0.7206,0.96381,0.44469,0.9315,0.80283,0.63288,0.69104,0.53344,0.80037,0.61302,0.65649,0.49909,1.44272,2.76478,1.3826,1.18233,0.00011569,0.00011569,0.00011569
143,1865.37,0.70706,0.93343,0.43562,0.9245,0.80304,0.64169,0.69223,0.52872,0.78608,0.62862,0.65852,0.4973,1.46475,2.80889,1.3704,1.19755,0.000104688,0.000104688,0.000104688
144,1877.61,0.68661,0.91288,0.42943,0.9141,0.85063,0.61649,0.69273,0.53034,0.82886,0.6049,0.65566,0.4977,1.45454,2.83261,1.41834,1.1856,9.36854e-05,9.36854e-05,9.36854e-05
145,1889.37,0.70304,0.92862,0.43518,0.92119,0.78817,0.64385,0.69257,0.53011,0.77448,0.62406,0.65557,0.49805,1.47018,2.84825,1.39287,1.19233,8.26832e-05,8.26832e-05,8.26832e-05
146,1902.67,0.68747,0.90433,0.42547,0.92521,0.78805,0.64366,0.69361,0.53098,0.77182,0.63186,0.65803,0.4974,1.45811,2.87444,1.39762,1.18578,7.1681e-05,7.1681e-05,7.1681e-05
147,1914.7,0.68905,0.91568,0.42479,0.92233,0.77578,0.64261,0.69313,0.53523,0.81292,0.6074,0.65965,0.49955,1.46414,2.88222,1.4109,1.18423,6.06788e-05,6.06788e-05,6.06788e-05
148,1926.98,0.68483,0.90389,0.42036,0.91729,0.82359,0.624,0.69278,0.53464,0.81051,0.61216,0.65848,0.49986,1.45425,2.88444,1.42854,1.18101,4.96766e-05,4.96766e-05,4.96766e-05
149,1939.66,0.6774,0.91843,0.41587,0.91335,0.79806,0.63626,0.69166,0.53433,0.7805,0.62175,0.6579,0.49976,1.45599,2.89674,1.41676,1.18284,3.86744e-05,3.86744e-05,3.86744e-05
150,1951.73,0.68169,0.92357,0.41658,0.9122,0.79109,0.64067,0.69223,0.5343,0.77032,0.62633,0.65706,0.49853,1.45961,2.88026,1.41283,1.18474,2.76722e-05,2.76722e-05,2.76722e-05
