epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,402.202,1.14138,1.5115,0.88232,1.1098,0.68657,0.59754,0.66767,0.46718,0.67829,0.58954,0.62821,0.44393,1.5575,2.29511,1.21648,1.24649,0.00134794,0.00134794,0.00134794
31,415.439,1.15196,1.5034,0.88944,1.12169,0.73397,0.64338,0.68577,0.49699,0.73082,0.61694,0.6473,0.46645,1.5033,2.28156,1.1691,1.21335,0.00133693,0.00133693,0.00133693
32,427.961,1.13217,1.50557,0.86723,1.10063,0.5646,0.6343,0.66069,0.47846,0.55391,0.61775,0.61968,0.44804,1.46099,2.25207,1.24026,1.18582,0.00132593,0.00132593,0.00132593
33,440.667,1.13396,1.49219,0.8701,1.10176,0.74405,0.62958,0.68307,0.50607,0.76829,0.59807,0.64271,0.47223,1.50746,2.29761,1.16808,1.19781,0.00131493,0.00131493,0.00131493
34,453.604,1.12824,1.47788,0.85747,1.09824,0.78348,0.6589,0.70255,0.51468,0.77583,0.63982,0.66443,0.48742,1.45121,2.23649,1.16285,1.18951,0.00130393,0.00130393,0.00130393
35,466.694,1.10227,1.47717,0.83573,1.09108,0.74234,0.62926,0.67727,0.49745,0.75648,0.60537,0.63872,0.47234,1.46561,2.24066,1.1867,1.20231,0.00129293,0.00129293,0.00129293
36,479.628,1.0984,1.45291,0.8412,1.09286,0.61202,0.63168,0.66916,0.49331,0.59699,0.61361,0.62019,0.46046,1.47173,2.26354,1.1963,1.18779,0.00128192,0.00128192,0.00128192
37,492.544,1.10551,1.45806,0.81985,1.0769,0.74821,0.65083,0.68191,0.48631,0.72464,0.59723,0.62927,0.46212,1.47433,2.40541,1.21653,1.19523,0.00127092,0.00127092,0.00127092
38,505.395,1.10765,1.45774,0.81714,1.08032,0.76456,0.6806,0.6986,0.51605,0.76816,0.64269,0.65584,0.49142,1.46159,2.31377,1.13896,1.1658,0.00125992,0.00125992,0.00125992
39,518.202,1.1077,1.42386,0.8181,1.10021,0.78526,0.55201,0.65638,0.49496,0.74673,0.53677,0.59946,0.46192,1.44319,2.28665,1.2527,1.17025,0.00124892,0.00124892,0.00124892
40,530.934,1.09071,1.44593,0.80896,1.08361,0.86322,0.50761,0.66539,0.49097,0.86382,0.4994,0.61959,0.4668,1.48991,2.34693,1.28088,1.19085,0.00123791,0.00123791,0.00123791
41,544.199,1.08026,1.42091,0.79939,1.08102,0.77974,0.61043,0.69432,0.50009,0.77914,0.61365,0.67293,0.48079,1.45377,2.25068,1.10465,1.16779,0.00122691,0.00122691,0.00122691
42,556.651,1.09041,1.41664,0.80831,1.08256,0.71266,0.66932,0.67925,0.5082,0.71322,0.64359,0.63672,0.47158,1.46837,2.23737,1.18455,1.17169,0.00121591,0.00121591,0.00121591
43,569.43,1.06761,1.39942,0.79482,1.07143,0.7453,0.58869,0.66568,0.50718,0.73855,0.57644,0.6282,0.47236,1.48654,2.43077,1.22117,1.17925,0.00120491,0.00120491,0.00120491
44,582.401,1.06301,1.39931,0.77657,1.06332,0.72531,0.65886,0.68667,0.51145,0.73571,0.61354,0.63381,0.47476,1.46479,2.39944,1.23829,1.18058,0.00119391,0.00119391,0.00119391
45,594.691,1.04844,1.36675,0.76684,1.06163,0.73957,0.65794,0.70021,0.5192,0.75986,0.60743,0.65175,0.47569,1.48033,2.47627,1.18279,1.17907,0.0011829,0.0011829,0.0011829
46,607.632,1.06856,1.44292,0.76983,1.06401,0.80413,0.607,0.68757,0.51144,0.77701,0.58642,0.64134,0.47807,1.4933,2.17461,1.20797,1.19199,0.0011719,0.0011719,0.0011719
47,620.696,1.06972,1.38332,0.77719,1.0663,0.7403,0.65551,0.69906,0.51226,0.7891,0.60827,0.65422,0.47895,1.47913,2.25647,1.14916,1.19904,0.0011609,0.0011609,0.0011609
48,634.205,1.03331,1.34401,0.76364,1.05496,0.58468,0.67003,0.68013,0.5079,0.58174,0.63441,0.64289,0.47344,1.45917,2.4262,1.16896,1.16877,0.0011499,0.0011499,0.0011499
49,647.962,1.05027,1.3458,0.76475,1.06042,0.65059,0.63517,0.69008,0.51326,0.85477,0.53411,0.65055,0.47502,1.43697,2.35446,1.17386,1.16785,0.00113889,0.00113889,0.00113889
50,660.984,1.02504,1.32623,0.74415,1.05045,0.77976,0.64841,0.69448,0.5177,0.75557,0.61536,0.6422,0.48597,1.44463,2.31161,1.22948,1.15513,0.00112789,0.00112789,0.00112789
51,673.976,1.03942,1.38539,0.75742,1.05296,0.75947,0.63586,0.68946,0.52474,0.74663,0.61654,0.64341,0.48157,1.44454,2.32099,1.20242,1.16156,0.00111689,0.00111689,0.00111689
52,686.702,1.03611,1.33392,0.74174,1.04897,0.75346,0.63493,0.69681,0.51776,0.73187,0.6214,0.64517,0.47642,1.46237,2.3915,1.16664,1.16945,0.00110589,0.00110589,0.00110589
53,699.777,1.02192,1.31896,0.71843,1.04135,0.83945,0.56681,0.69401,0.5214,0.81943,0.56033,0.64609,0.48241,1.46102,2.43762,1.232,1.18023,0.00109489,0.00109489,0.00109489
54,713.608,1.0363,1.35195,0.74071,1.0558,0.74644,0.65746,0.70201,0.52424,0.7328,0.64673,0.67368,0.49434,1.46294,2.30199,1.12384,1.17719,0.00108388,0.00108388,0.00108388
55,726.328,1.02193,1.32757,0.72191,1.05075,0.83605,0.53806,0.67828,0.50877,0.82755,0.53109,0.63124,0.47261,1.45378,2.42911,1.26645,1.16173,0.00107288,0.00107288,0.00107288
56,739.35,1.01862,1.34056,0.72439,1.03776,0.77396,0.65139,0.68536,0.5136,0.76026,0.60691,0.63059,0.47997,1.46899,2.37373,1.22074,1.19194,0.00106188,0.00106188,0.00106188
57,752.619,1.01764,1.2997,0.72115,1.04949,0.73151,0.60524,0.69664,0.52501,0.7654,0.55972,0.63863,0.48614,1.43412,2.41553,1.18084,1.15292,0.00105088,0.00105088,0.00105088
